title,rating,Sentiment_score,movieId
102 Dalmatians,4.8,4.393153862,3991
10th & Wolf,6.3,5.199127216,5035
12 Angry Men,9.0,8.037602432,1203
12 Rounds,5.6,4.847429305,61729
12 Years a Slave,8.1,7.048303123,6297
13 Going on 30,6.3,5.517548288,8814
15 Minutes,6.1,4.692688196,4167
16 Blocks,6.6,6.240840307,43936
17 Again,6.4,5.915443893,68135
2 Guns,6.7,5.932997241,103883
20 Dates,5.6,4.205818597,2492
"20,000 Leagues Under the Sea",7.2,6.715866109,7160
200 Cigarettes,6.0,5.184814819,4017
2001: A Space Odyssey,8.3,6.796798172,27434
2016: Obama's America,4.8,3.688114337,89523
21 Grams,7.6,6.372513026,57
21 Jump Street,7.2,6.359187121,93510
22 Jump Street,7.0,5.961973977,112138
25th Hour,7.6,6.773821463,4429
27 Dresses,6.1,4.881413493,2539
28 Days,6.1,5.056967173,3534
28 Days Later,7.5,6.853748047,1259
3 Backyards,5.0,4.286861491,88423
3 Days to Kill,6.2,5.368091763,151
3 Ninjas Kick Back,4.6,5.109894087,80831
3 Strikes,4.7,5.270368494,46967
30 Days of Night,6.6,5.98277807,5524
30 Minutes or Less,6.1,5.046682772,76251
3000 Miles to Graceland,6.0,4.816514243,4159
300: Rise of an Empire,6.2,4.96282166,109673
3:10 to Yuma,7.6,6.606246214,5300
42nd Street,7.3,6.762086493,7080
47 Ronin,6.2,5.167855473,106491
5 Days of War,5.5,4.270844903,93610
50 First Dates,6.8,6.279532186,7293
50/50,7.6,6.893037438,5664
51 Birch Street,7.3,7.425765953,58610
8 Heads in a Duffel Bag,5.4,4.512649964,4685
8 Mile,7.2,6.881250803,5810
88 Minutes,5.9,4.460403,5478
8: The Mormon Proposition,7.1,5.365265585,65633
8MM,6.6,5.785771219,2505
A Home at the End of the World,6.6,6.184442647,27831
A Most Violent Year,6.9,6.0846799,8959
A.I. Artificial Intelligence,7.2,6.074704274,4370
Abandon,4.8,4.350304653,58876
Abandoned,6.3,6.19242082,60766
Abduction,5.1,3.341929417,108445
Aberdeen,7.1,6.888043069,8667
About Schmidt,7.2,5.855522737,72011
About Time,7.8,7.400115967,5255
About a Boy,7.1,6.696155416,91873
Abraham Lincoln: Vampire Hunter,5.9,4.743812621,95207
Absentia,7.2,5.996043061,93819
Absolute Power,6.7,6.299489816,1459
Ace Ventura: When Nature Calls,6.4,5.072741863,3916
Across the Universe,7.3,5.882076783,54190
Action Jackson,5.6,4.880586709,2528
Adam,7.1,6.062372652,2160
Adam Resurrected,6.2,4.920886828,71691
Addicted,5.0,3.429877834,113780
Adore,6.2,5.534964757,2569
Adventureland,6.8,5.825242913,77818
After Earth,4.8,3.131113222,102880
After the Sunset,6.2,5.517024555,8968
Against the Ropes,5.3,4.261420454,7315
Agent Cody Banks,5.1,4.373086261,8641
Agent Cody Banks 2: Destination London,4.6,4.045959921,72605
Agora,7.1,6.542518435,74624
Air Bud,5.3,4.832812315,2530
Air Force One,6.5,5.745924761,1608
Airplane!,7.7,7.192888937,1952
Akeelah and the Bee,7.4,6.747561828,2888
Aladdin,8.0,7.451984537,2883
Albert Nobbs,6.7,5.484769119,8800
Albino Alligator,6.1,5.328933396,101
Alex Cross,5.2,3.866391578,7366
Alexander,5.6,4.377458802,8977
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,5.383226978,4030
Alexander's Ragtime Band,6.8,6.458580649,7256
Alfie,6.2,5.245634756,4191
Ali,6.7,5.552840643,5009
Alice in Wonderland,6.4,5.272652574,1032
Alien,8.5,7.859861974,94469
Aliens in the Attic,5.4,4.983297126,70282
Alive,7.1,6.330697835,85414
All Good Things,6.3,5.543223963,116092
All Is Lost,6.9,5.698426722,71327
All That Jazz,7.8,6.931657729,2971
All or Nothing,7.5,6.55713004,6406
All the King's Men,6.1,5.239661018,1942
All the Pretty Horses,5.8,4.512659739,4031
Almost Famous,7.9,7.289521157,3897
Aloft,5.3,4.456492631,33421
Alone in the Dark,2.4,2.352859336,97832
Along Came Polly,6.0,5.654711175,7173
Along Came a Spider,6.4,5.821539053,2115
Alpha and Omega,5.1,4.156586585,26750
Alvin and the Chipmunks,5.3,4.436183732,56176
Alvin and the Chipmunks: Chipwrecked,4.4,3.904322995,91671
Alvin and the Chipmunks: The Squeakquel,4.6,3.761652893,73042
America's Sweethearts,5.7,4.602915081,4639
American Gangster,7.8,6.650693913,55765
American Heist,5.0,3.847111159,3177
American History X,8.5,7.467162141,84615
American Hustle,7.2,6.018856206,106916
American Ninja 2: The Confrontation,5.0,5.05579463,4566
American Outlaws,5.9,4.640220398,56805
American Pie 2,6.4,6.173392805,2694
American Psycho,7.6,6.40235008,69253
American Sniper,7.3,6.174659311,114662
American Splendor,7.4,6.711026962,1914
Amigo,6.4,7.022880188,38435
Amistad,7.3,6.515950711,1693
Among Giants,5.9,5.173605077,1236
Amour,7.9,6.664313565,115151
Anaconda,4.9,4.660359683,1499
Anacondas: The Hunt for the Blood Orchid,4.7,4.57544214,52694
Analyze That,5.9,4.839522529,5900
Analyze This,6.7,6.293109052,30707
Anastasia,7.1,7.171443881,1688
Anchorman 2: The Legend Continues,6.3,4.556113325,107348
Anchorman: The Legend of Ron Burgundy,7.1,5.980639997,31427
Angel Eyes,5.7,4.827619546,4305
Angela's Ashes,7.3,6.444804842,54256
Angels & Demons,6.7,5.753545972,68554
Anna Karenina,6.6,5.842291713,1496
Anna and the King,6.7,6.046688127,3155
Annabelle,5.4,3.723239277,86781
Anne of Green Gables,8.5,8.643360178,8512
Annie,5.4,3.844688525,4039
Annie Get Your Gun,6.9,5.828272433,26142
Annie Hall,8.0,6.947961141,6711
Anonymous,6.8,5.788163453,44665
Another Earth,6.9,5.437894306,89039
Another Happy Day,6.0,4.938391554,89072
Another Year,7.4,6.265734179,3260
