movieId,title,genres,cast,crew
72998,Avatar,Action,Sam Worthington,James Cameron
53125,Pirates of the Caribbean: At World's End,Adventure,Johnny Depp,Gore Verbinski
93363,John Carter,Action,Taylor Kitsch,Andrew Stanton
52722,Spider-Man 3,Fantasy,Tobey Maguire,Sam Raimi
81847,Tangled,Animation,Zachary Levi,Byron Howard
69844,Harry Potter and the Half-Blood Prince,Adventure,Daniel Radcliffe,David Yates
46530,Superman Returns,Adventure,Brandon Routh,Bryan Singer
63113,Quantum of Solace,Adventure,Daniel Craig,Marc Forster
45722,Pirates of the Caribbean: Dead Man's Chest,Adventure,Johnny Depp,Gore Verbinski
121693,The Lone Ranger,Action,Johnny Depp,Gore Verbinski
103042,Man of Steel,Action,Henry Cavill,Zack Snyder
86880,Pirates of the Caribbean: On Stranger Tides,Adventure,Johnny Depp,Rob Marshall
118696,The Hobbit: The Battle of the Five Armies,Action,Martin Freeman,Peter Jackson
3034,Robin Hood,Action,Russell Crowe,Ridley Scott
2366,King Kong,Adventure,Naomi Watts,Peter Jackson
1721,Titanic,Drama,Kate Winslet,James Cameron
94018,Battleship,Thriller,Taylor Kitsch,Peter Berg
96079,Skyfall,Action,Daniel Craig,Sam Mendes
8636,Spider-Man 2,Action,Tobey Maguire,Sam Raimi
102125,Iron Man 3,Action,Robert Downey Jr.,Shane Black
1032,Alice in Wonderland,Family,Mia Wasikowska,Tim Burton
45499,X-Men: The Last Stand,Adventure,Hugh Jackman,Brett Ratner
103141,Monsters University,Animation,Billy Crystal,Dan Scanlon
69526,Transformers: Revenge of the Fallen,Science Fiction,Shia LaBeouf,Michael Bay
112370,Transformers: Age of Extinction,Science Fiction,Mark Wahlberg,Michael Bay
110553,The Amazing Spider-Man 2,Action,Andrew Garfield,Marc Webb
87876,Cars 2,Animation,Owen Wilson,John Lasseter
87430,Green Lantern,Adventure,Ryan Reynolds,Martin Campbell
78499,Toy Story 3,Animation,Tom Hanks,Lee Unkrich
68791,Terminator Salvation,Action,Christian Bale,McG
103249,World War Z,Action,Brad Pitt,Marc Forster
111362,X-Men: Days of Future Past,Action,Hugh Jackman,Bryan Singer
102445,Star Trek Into Darkness,Action,Chris Pine,J.J. Abrams
101025,Jack the Giant Slayer,Action,Nicholas Hoult,Bryan Singer
121618,The Great Gatsby,Drama,Leonardo DiCaprio,Baz Luhrmann
